Voyage ID,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),"Voyage duration, homeport to disembarkation (in days)",Outcome of voyage if ship captured,Flag of vessel (IMP),Rig of Vessel,Month voyage began,Month first disembarkation of captives,Broad region of captive disembarkation (IMP),Particular outcome,Outcome of voyage for captives,voyage_itinerary__imp_principal_region_slave_dis__name,voyage_itinerary__imp_principal_region_of_slave_purchase__name,voyage_itinerary__imp_port_voyage_begin__name,voyage_itinerary__imp_principal_port_slave_dis__name,voyage_itinerary__imp_principal_place_of_slave_purchase__name,voyage_sources,enslavers
29073,1599,186,222,458,Not captured,Portugal / Brazil,Navio mercante,4,7,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,San Lucar,Cartagena,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Díaz Lobo, Próspero"
29074,1599,201,240,0,Not captured,Portugal / Brazil,Navio mercante,0,8,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,nan,Cartagena,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Lopez, Duarte|Investor: Lopez, Duarte"
29075,1599,158,189,200,Not captured,Portugal / Brazil,Navio mercante,2,8,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,San Lucar,Cartagena,Cape Verde Islands,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Rafael, Antonio"
29076,1599,159,190,0,Not captured,Portugal / Brazil,Navio mercante,0,9,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,nan,Cartagena,Portuguese Guinea,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Alonso, Rodrigo"
29077,1599,151,180,733,Not captured,Portugal / Brazil,Navio mercante,9,9,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,nan,Cartagena,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Olivera, Luis de"
29078,1599,193,259,0,Not captured,Portugal / Brazil,Caravela,0,10,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Bight of Biafra and Gulf of Guinea islands,nan,Cartagena,São Tomé,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Gómez, Duarte"
29079,1599,326,389,555,Not captured,Portugal / Brazil,Navio mercante,4,11,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,San Lucar,Cartagena,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Gallego, Juan"
29080,1599,226,304,0,Natural hazard,Portugal / Brazil,0,0,11,Spanish Mainland Americas,"Shipwrecked or destroyed, after disembarkation",Slaves perished with ship,Spanish Circum-Caribbean,West Central Africa and St Helena,Lisbon,"Spanish Circum-Caribbean,unspecified","West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Mendez, Garcia"
29081,1599,274,327,453,Not captured,Portugal / Brazil,Navio mercante,9,12,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,Lisbon,Cartagena,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Nunez de Acosta, Alvaro"
29082,1599,140,188,0,Not captured,Portugal / Brazil,Caravela,0,12,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,nan,Cartagena,Portuguese Guinea,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Captain: Fernández, Gonzalo"
