Voyage ID,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),"Voyage duration, homeport to disembarkation (in days)",Outcome of voyage if ship captured,Flag of vessel (IMP),Rig of Vessel,Month voyage began,Month first disembarkation of captives,Broad region of captive disembarkation (IMP),Particular outcome,Outcome of voyage for captives,voyage_itinerary__imp_principal_region_slave_dis__name,voyage_itinerary__imp_principal_region_of_slave_purchase__name,voyage_itinerary__imp_port_voyage_begin__name,voyage_itinerary__imp_principal_port_slave_dis__name,voyage_itinerary__imp_principal_place_of_slave_purchase__name,voyage_sources,enslavers
29132,1599,240,287,250,Not captured,Portugal / Brazil,Navio mercante,10,6,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,nan,Veracruz,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Luis, Benito"
29133,1599,300,375,508,Not captured,Portugal / Brazil,Navio mercante,3,8,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,nan,Veracruz,"Senegambia and offshore Atlantic, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de Indias (Seville)","Captain: Miquines, Antonio Fernandez"
29134,1599,177,211,517,Not captured,Portugal / Brazil,Navio mercante,3,8,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,Lisbon,Veracruz,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Cadena, Francisco"
29135,1599,375,448,360,Not captured,Portugal / Brazil,Navio mercante,9,8,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,Lisbon,Veracruz,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Asibay, Domingo de"
29136,1599,245,293,361,Not captured,Portugal / Brazil,Navio mercante,9,8,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,San Lucar,Veracruz,Portuguese Guinea,"  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Carrillo, Manoel"
29137,1599,156,171,527,Not captured,Portugal / Brazil,Patacho,6,11,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,nan,Veracruz,Portuguese Guinea,"  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|  Vila Vilar, Enriqueta, Historia de Puerto Rico, 1600-1650 (Seville, 1974)., n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Investor: Juan, Francisco; Coello, Baltasar|Captain: Correa, Luís|Captain: Alfonso, Manoel"
29138,1599,180,215,459,Not captured,Portugal / Brazil,Navio mercante,9,12,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,San Lucar,Cartagena,"West Central Africa and St Helena, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de la Nacion (Bogota)|Archivo General de Indias (Seville)","Investor: Alfonso, Francisco|Investor: Alfonso, Francisco|Captain: Hace, Melchor de|Captain: Colón, Juan"
29156,1599,120,143,0,Not captured,Portugal / Brazil,Navio mercante,12,5,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,Other Africa,Lisbon,Margarita,"Africa, port unspecified","  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Lapeyre, Henri. “Le trafic négrier avec l’Amérique espagnole.” Homenaje a Jaime Vicens Vives 2 (1967): 285–306. https://www.cervantesvirtual.com/descargaPdf/le-trafic-negrier-avec-lamerique-espagnole/.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Acosta, Manoel de"
29169,1599,323,404,0,Not captured,Portugal / Brazil,0,0,12,Spanish Mainland Americas,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked in Americas,Spanish Circum-Caribbean,West Central Africa and St Helena,nan,Caracas,"West Central Africa and St Helena, port unspecified","  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|  Vila Vilar, Enriqueta, Hispanoam&eacute;Rica y El Comercio de Esclavos: Los Asientos Portugueses (Sevilla, 1977), n.d.|Archivo General de Indias (Seville)","Captain: Palma, Luis de"
29804,1599,328,359,0,Unknown,0,Patacho,0,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,nan,Seville,"Honduras, port unspecified",nan,"  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Investor: Ferreira, Manuel Antonio|Captain: Mesa, Francisco de"
42552,1599,375,448,0,Unknown,0,Navio mercante,9,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,Lisbon,Cartagena,"Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Garcia de Lenanon, Pedro"
42575,1599,375,448,0,Unknown,0,Navio mercante,10,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Bight of Biafra and Gulf of Guinea islands,nan,Cartagena,São Tomé,"  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Rodriguez, Manuel"
42579,1599,300,375,0,Unknown,0,Navio mercante,5,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,San Lucar,"New Spain, port unspecified","Africa, port unspecified",Archivo General de Indias (Seville),"Captain: Mendez Pinelo, Manuel"
42596,1599,375,448,0,Unknown,0,Navio mercante,8,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,Lisbon,Cartagena,"Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Acosta, Luis de"
42597,1599,375,448,0,Unknown,0,Navio mercante,10,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Senegambia and offshore Atlantic,Lisbon,"New Spain, port unspecified","Senegambia and offshore Atlantic, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Acosta, Luis de"
42610,1599,375,448,0,Unknown,0,Navio mercante,12,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Rio de la Plata,Other Africa,Lisbon,"Rio de la Plata, port unspecified","Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Rengel, Juan"
42632,1599,300,375,0,Unknown,0,Navio mercante,8,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,nan,Cartagena,"Africa, port unspecified",Archivo General de Indias (Seville),"Captain: Argumedo, Juan de"
42673,1599,375,448,0,Unknown,0,Navio mercante,1,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,San Lucar,Cartagena,"Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Salguero, Francisco"
42681,1599,277,346,0,Not captured,0,Navio mercante,11,0,Spanish Mainland Americas,"Left home port, no further record","Slaves embarked, transhipped or no further record",Spanish Circum-Caribbean,Other Africa,nan,Cartagena,"Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Nunez, Francisco"
42690,1599,375,448,0,Unknown,0,Navio mercante,8,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,Lisbon,Cartagena,"Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Gonzalez, Francisco"
42696,1599,277,346,0,Unknown,0,Navio mercante,12,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,nan,Cartagena,"Africa, port unspecified",Archivo General de Indias (Seville),"Captain: Diaz, Francisco"
42738,1599,375,448,0,Unknown,0,Navio mercante,12,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,Lisbon,"New Spain, port unspecified","Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Baez Araujo, Daniel"
42748,1599,375,448,0,Unknown,0,Navio mercante,9,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,Lisbon,Cartagena,"Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Rolan, Bartolome"
42760,1599,300,375,0,Unknown,0,Filibote,10,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,San Lucar,"New Spain, port unspecified","Africa, port unspecified",Archivo General de Indias (Seville),"Captain: Amat, Baltasar"
42778,1599,270,338,0,Unknown,0,Navio mercante,10,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,Lisbon,Margarita,"Africa, port unspecified",Archivo General de Indias (Seville),"Captain: Almeida, Antonio de"
42781,1599,375,448,0,Unknown,0,Navio mercante,10,0,Spanish Mainland Americas,"Left home port, no further record",No information on slaves,Spanish Circum-Caribbean,Other Africa,nan,Cartagena,"Africa, port unspecified","  Chaunu, Pierre, and Huguette Chaunu. Séville et l´Atlantique, 1504-1650. 8 vols. Paris, FR: Librairie Armand Colin, n.d.|Archivo General de Indias (Seville)","Captain: Brisos, Antonio"
,,,,,,,,,,,,,,,,,,,
